Date,Location,Daily Max Temperature,Air Quality PM2.5,RH,Temperature,Building Density,Population Density,Latitude,Longitude,Clothing Factor,Activity Level,DI_1,DI_2,DI_3,Urban Heat Risk Composite,Urban Heat Risk,Risk Class
2025-03-13,Penrith ,28.1,2.50070835153262,59.948709487915,25.4304167429606,368903.5,12093,-33.7511954,150.6941711,2.0,5,38119.81893775563,20275.750016861657,39323.9205522264,3.2,0.5555555555555556,Medium
2025-03-14,Penrith ,32.2,2.46454169352849,70.6925423940023,24.5288750330607,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.54362515807,20276.90578137139,39324.55258758564,3.1,0.5,Medium
2025-03-15,Penrith ,36.4,2.79941668113073,71.8093338012695,23.8587083816528,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.59942094286,20276.95598966777,39324.44645214776,3.1,0.5,Medium
2025-03-16,Penrith ,38.3,2.86745832363764,71.1589997609456,23.3651666641235,368903.5,12093,-33.7511954,150.6941711,2.5,4,38121.32809578379,20276.745260378717,39324.212081224716,3.1,0.5,Medium
2025-03-17,Penrith ,37.4,1.44049998621146,70.4886671702067,22.7666668891907,368903.5,12093,-33.7511954,150.6941711,2.5,4,38120.87178349942,20276.28104179576,39323.864225127545,3.1,0.5,Medium
2025-03-18,Penrith ,23.7,1.63408334056536,67.9720408121745,22.4252500534058,368903.5,12093,-33.7511954,150.6941711,3.0,4,38120.23539151251,20275.82223113626,39323.42774576694,3.4,0.6666666666666665,High
2025-03-19,Penrith ,25.4,1.75879166523616,65.707540512085,22.0718336105347,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.6889373521,20275.412908229227,39323.08383539815,3.4,0.6666666666666665,High
2025-03-20,Penrith ,31.2,1.78387499849002,64.0622088114421,21.7937081654867,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.27894171178,20275.100339612858,39322.82321248899,3.4,0.6666666666666665,High
2025-03-21,Penrith ,32.7,2.69533332188924,65.0429573059082,21.522958278656,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.485012276964,20275.31648316383,39322.872097794214,3.4,0.6666666666666665,High
2025-03-22,Penrith ,28.0,3.21183335781097,64.4238341649373,21.7314167022705,368903.5,12093,-33.7511954,150.6941711,3.0,3,38119.37537517945,20275.153204303977,39322.85897093018,3.0,0.4444444444444444,Medium
2025-03-23,Penrith ,29.0,2.9515833457311,64.0829575856527,21.8491244316101,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.41648718118,20275.292462247606,39322.90306847692,3.4,0.6666666666666665,High
2025-03-24,Penrith ,21.4,2.05720830957095,64.9660415649414,22.2284580866496,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.61746656994,20275.385602002836,39323.0794249023,3.4,0.6666666666666665,High
2025-03-25,Penrith ,25.3,1.55424998700619,65.8930422465007,22.6072084108988,368903.5,12093,-33.7511954,150.6941711,3.0,4,38119.86619597127,20275.543895937746,39323.27953966781,3.4,0.6666666666666665,High
2025-03-26,Penrith ,25.5,1.21991666654746,66.9783757527669,23.6497917175293,368903.5,12093,-33.7511954,150.6941711,3.0,4,38120.36260433246,20275.917191792276,39323.73626050974,3.4,0.6666666666666665,High
2025-03-27,Penrith ,28.6,1.22583331664403,66.2702503204346,24.9435418446859,368903.5,12093,-33.7511954,150.6941711,3.0,4,38120.609695949155,20276.13529800673,39324.118556343514,3.4,0.6666666666666665,High
2025-03-28,Penrith ,26.1,3.07233334084352,64.1249160766602,26.3655002911886,368903.5,12093,-33.7511954,150.6941711,2.0,4,38120.891866636775,20276.495962485424,39324.644033376615,2.8,0.33333333333333326,Medium
2025-03-29,Penrith ,26.1,4.69058341284593,56.8188333511353,26.910583337148,368903.5,12093,-33.7511954,150.6941711,2.0,4,38119.75600001266,20275.779058348886,39324.18511667375,2.8,0.33333333333333326,Medium
2025-03-30,Penrith ,23.0,4.8247500260671,51.5174579620361,26.2615001996358,368903.5,12093,-33.7511954,150.6941711,2.0,4,38118.51441665491,20274.841706248124,39323.43450836737,2.8,0.33333333333333326,Medium
2025-03-31,Penrith ,25.9,5.42791668574015,47.3602504730225,24.3436250686646,368903.5,12093,-33.7511954,150.6941711,3.0,3,38116.967929283775,20273.579131340975,39322.177689655626,3.0,0.4444444444444444,Medium
